iter	Passed	Remaining
0	0	62
1	1	57
2	1	55
3	2	53
4	2	52
5	3	51
6	3	50
7	4	50
8	4	49
9	5	48
10	5	48
11	8	65
12	9	65
13	10	64
14	14	83
15	15	83
16	16	81
17	17	80
18	18	78
19	19	78
20	20	78
21	21	77
22	23	78
23	24	76
24	24	74
25	25	72
26	27	73
27	28	72
28	28	70
29	29	68
30	29	66
31	30	64
32	31	63
33	36	71
34	37	69
35	37	67
36	38	65
37	39	63
38	39	61
39	40	60
40	40	58
41	41	56
42	41	55
43	42	53
44	42	52
45	43	50
46	43	49
47	44	47
48	44	46
49	45	45
50	45	43
51	46	42
52	46	41
53	47	40
54	47	39
55	48	38
56	48	36
57	49	35
58	52	36
59	53	35
60	59	37
61	60	36
62	60	35
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	69	27
72	71	26
73	72	25
74	73	24
75	73	23
76	74	22
77	75	21
78	75	20
79	81	20
80	82	19
81	82	18
82	83	17
83	83	15
84	84	14
85	84	13
86	85	12
87	85	11
88	86	10
89	86	9
90	87	8
91	87	7
92	88	6
93	88	5
94	89	4
95	89	3
96	90	2
97	91	1
98	91	0
99	92	0
