iter	Passed	Remaining
0	136	136456
1	138	69227
2	140	46680
3	142	35544
4	144	28694
5	145	24132
6	147	20959
7	149	18499
8	150	16599
9	151	15030
10	153	13822
11	155	12827
12	157	11946
13	158	11166
14	159	10492
15	161	9908
16	162	9377
17	163	8904
18	164	8481
19	165	8099
20	166	7754
21	167	7452
22	168	7176
23	169	6910
24	170	6660
25	171	6424
26	172	6204
27	172	5995
28	173	5801
29	173	5619
30	174	5449
31	174	5289
32	175	5140
33	175	4998
34	176	4865
35	177	4740
36	177	4621
37	178	4508
38	178	4401
39	179	4299
40	179	4202
41	180	4111
42	181	4028
43	182	3956
44	182	3879
45	183	3803
46	184	3731
47	184	3660
48	185	3593
49	185	3528
50	186	3466
51	186	3405
52	187	3346
53	187	3290
54	188	3236
55	188	3184
56	189	3133
57	189	3084
58	190	3038
59	191	2993
60	191	2949
61	192	2907
62	192	2865
63	193	2825
64	193	2787
65	194	2749
66	194	2713
67	195	2678
68	196	2645
69	196	2613
70	197	2581
71	197	2549
72	198	2519
73	198	2489
74	199	2460
75	200	2433
76	200	2405
77	201	2378
78	201	2352
79	202	2326
80	202	2301
81	203	2277
82	203	2253
83	204	2229
84	205	2206
85	205	2184
86	206	2162
87	206	2141
88	207	2121
89	207	2100
90	208	2080
91	208	2060
92	210	2048
93	211	2034
94	211	2017
95	212	1999
96	212	1982
97	213	1965
98	214	1948
99	214	1932
100	215	1916
101	215	1900
102	216	1885
103	217	1870
104	217	1855
105	218	1840
106	218	1826
107	219	1811
108	219	1798
109	220	1784
110	221	1770
111	221	1757
112	222	1744
113	222	1731
114	223	1719
115	224	1707
116	224	1697
117	225	1686
118	226	1675
119	226	1664
120	227	1651
121	227	1639
122	228	1629
123	229	1619
124	229	1609
125	230	1599
126	231	1588
127	231	1578
128	232	1569
129	233	1559
130	233	1550
131	234	1540
132	234	1531
133	235	1521
134	236	1512
135	236	1503
136	237	1494
137	237	1485
138	238	1477
139	239	1469
140	240	1462
141	241	1456
142	241	1447
143	242	1439
144	242	1430
145	243	1422
146	243	1414
147	244	1405
148	244	1397
149	245	1389
150	245	1381
151	246	1373
152	246	1366
153	247	1358
154	247	1350
155	248	1343
156	248	1335
157	249	1328
158	249	1321
159	250	1314
160	250	1307
161	251	1300
162	251	1293
163	252	1286
164	252	1279
165	253	1273
166	254	1267
167	254	1261
168	255	1255
169	255	1249
170	256	1242
171	256	1236
172	257	1230
173	257	1224
174	258	1218
175	258	1212
176	259	1206
177	259	1200
178	260	1194
179	260	1188
180	261	1182
181	261	1176
182	262	1171
183	262	1165
184	263	1160
185	263	1154
186	264	1149
187	264	1144
188	265	1138
189	265	1133
190	266	1128
191	266	1123
192	267	1118
193	268	1113
194	268	1109
195	269	1104
196	269	1099
197	270	1094
198	270	1090
199	271	1085
200	271	1080
201	272	1075
202	272	1070
203	273	1066
204	273	1061
205	274	1057
206	274	1052
207	275	1048
208	275	1043
209	276	1039
210	276	1035
211	277	1030
212	277	1026
213	278	1022
214	278	1018
215	279	1013
216	279	1009
217	280	1005
218	280	1001
219	281	997
220	281	993
221	282	989
222	282	985
223	283	982
224	284	978
225	284	975
226	285	971
227	285	967
228	286	963
229	286	960
230	287	956
231	287	952
232	288	949
233	288	945
234	289	942
235	289	938
236	290	934
237	290	931
238	291	927
239	291	924
240	292	920
241	292	917
242	293	914
243	293	910
244	294	907
245	294	903
246	295	900
247	295	897
248	296	893
249	296	890
250	297	887
251	298	885
252	298	882
253	299	879
254	299	875
255	300	872
256	300	869
257	301	866
258	301	863
259	302	860
260	302	857
261	303	854
262	303	851
263	304	848
264	304	845
265	305	842
266	305	839
267	306	836
268	306	833
269	307	830
270	307	827
271	308	824
272	308	822
273	309	819
274	309	816
275	310	813
276	310	810
277	311	808
278	312	807
279	312	804
280	313	802
281	314	799
282	314	797
283	315	794
284	315	792
285	316	789
286	316	787
287	317	784
288	317	782
289	318	779
290	318	777
291	319	774
292	319	772
293	320	769
294	320	767
295	321	764
296	321	762
297	322	759
298	323	757
299	323	754
300	323	752
301	324	750
302	324	747
303	325	745
304	325	742
305	326	740
306	327	738
307	328	737
308	328	735
309	329	733
310	329	730
311	330	728
312	331	726
313	331	724
314	332	722
315	332	720
316	333	718
317	333	715
318	334	713
319	334	711
320	335	709
321	335	707
322	336	704
323	336	702
324	337	700
325	337	698
326	338	696
327	338	693
328	339	691
329	339	689
330	340	687
331	340	685
332	341	683
333	341	681
334	342	679
335	342	677
336	343	675
337	344	673
338	345	672
339	345	670
340	346	669
341	346	667
342	347	665
343	347	663
344	348	661
345	349	659
346	349	658
347	350	656
348	350	654
349	351	652
350	351	650
351	352	648
352	353	647
353	353	645
354	354	643
355	354	641
356	355	639
357	355	637
358	356	636
359	357	634
360	357	633
361	358	631
362	358	629
363	359	628
364	360	626
365	360	624
366	361	622
367	361	621
368	362	619
369	362	617
370	363	615
371	363	614
372	364	612
373	364	610
374	365	608
375	365	607
376	366	605
377	366	603
378	367	601
379	367	600
380	368	598
381	368	596
382	369	594
383	369	593
384	370	591
385	371	590
386	372	589
387	372	587
388	373	586
389	374	585
390	374	583
391	375	582
392	375	580
393	376	579
394	377	577
395	377	576
396	378	574
397	378	573
398	379	571
399	380	570
400	380	568
401	381	567
402	381	565
403	382	563
404	382	562
405	383	560
406	383	559
407	384	557
408	384	555
409	385	554
410	386	553
411	387	552
412	388	551
413	389	550
414	389	549
415	390	547
416	390	546
417	391	544
418	391	543
419	392	542
420	393	540
421	393	539
422	394	537
423	394	536
424	395	535
425	396	533
426	396	532
427	397	530
428	397	529
429	398	527
430	398	526
431	399	524
432	399	523
433	400	522
434	401	521
435	402	520
436	402	519
437	403	517
438	404	516
439	404	515
440	405	513
441	405	512
442	406	510
443	407	509
444	408	508
445	442	549
446	443	549
447	445	548
448	449	551
449	450	551
450	451	549
451	452	548
452	452	546
453	453	545
454	453	543
455	454	542
456	454	540
457	455	539
458	456	537
459	456	536
460	457	534
461	457	533
462	458	531
463	459	530
464	459	528
465	460	527
466	460	525
467	461	524
468	462	523
469	464	524
470	465	523
471	466	521
472	467	520
473	468	519
474	468	518
475	469	516
476	470	515
477	471	514
478	471	513
479	472	511
480	472	510
